source_crosswalk_id,canonical_crosswalk_id,registry_crosswalk_id,id_mapping_method,id_mapping_confidence,crossing_edge,tls_id,from_edge,to_edge,match_distance_m,registry_status,implementation_status,runnable_for_signal_extension,crossing_lon,crossing_lat,original_csv_lon,original_csv_lat
NODE_73917,73917,73917,exact_strip_NODE,high,:436883143_c0,436883143,920889919,37403486#3,152.73381531830177,patched_unsignalized,ready_for_simulation,True,126.97651309447856,37.55486603837609,126.9763248,37.5534927
NODE_73919,73919,73919,exact_strip_NODE,high,:436883143_c0,436883143,920889919,37403486#3,181.46317272312115,patched_unsignalized,ready_for_simulation,True,126.97651309447856,37.55486603837609,126.9763335,37.55323298
NODE_6155,6155,6155,exact_strip_NODE,high,:11203052964_c0,11203052964,1209133881#0,-781985788#0,185.5380167307677,patched_unsignalized,ready_for_simulation,True,126.98196437711906,37.560495163579986,126.9799377,37.55963725
NODE_10262,10262,10262,exact_strip_NODE,high,:436849185_c0,436849185,708672701#3,708672701#4,185.46471631769296,patched_unsignalized,ready_for_simulation,True,126.98194779711196,37.56370238475083,126.9809132,37.56221627
NODE_10381,10381,,unmatched,none,,,,,,,,,,,,
NODE_10382,10382,,unmatched,none,,,,,,,,,,,,
NODE_10383,10383,10383,exact_strip_NODE,high,:436883143_c2,436883143,37403486#2,-920889919,9.555912611765107,A,ready_for_simulation,True,126.9765097373875,37.55492528060069,,
NODE_6084,6084,6084,exact_strip_NODE,high,:2457731125_c0,2457731125,1339697075#0,237901345#0,229.3290199168218,patched_unsignalized,ready_for_simulation,True,126.97705108541774,37.55497448437383,126.9765407,37.55703425
NODE_122781,122781,122781,exact_strip_NODE,high,:11203052964_c0,11203052964,1209133881#0,-781985788#0,183.1129829856916,patched_unsignalized,ready_for_simulation,True,126.98196437711906,37.560495163579986,126.9807695,37.56184322
LINK_224750,LINK_224750,,unmatched,none,,,,,,,,,,,,
NODE_9650,9650,9650,exact_strip_NODE,high,:5161705573_c0,5161705573,585341916#3,218926711#4,160.01743434588408,patched_unsignalized,ready_for_simulation,True,126.9741195020757,37.55871519281736,126.9759337,37.55844844
NODE_6419,6419,6419,exact_strip_NODE,high,:11203052960_c0,11203052960,1209133880#1,1467498055#1,21.900115935647374,A,ready_for_simulation,True,126.9819293115092,37.56022347924575,,
NODE_6213,6213,6213,exact_strip_NODE,high,:2457731125_c0,2457731125,1339697075#0,237901345#0,121.4918080103449,patched_unsignalized,ready_for_simulation,True,126.97705108541774,37.55497448437383,126.9767537,37.55607654
NODE_6068,6068,6068,exact_strip_NODE,high,:436883143_c1,436883143,-37403486#3,-37403486#2,232.1444985252977,patched_unsignalized,ready_for_simulation,True,126.9764087992004,37.55490931083638,126.976299,37.55702756
NODE_6424,6424,6424,exact_strip_NODE,high,:436856276_c0,436856276,1454603285#2,1454603281#0,272.58033429327713,patched_unsignalized,ready_for_simulation,True,126.98210529430315,37.5522630088992,126.9817832,37.55473176
NODE_10061,10061,10061,exact_strip_NODE,high,:11203052957_c0,11203052957,1209133879#2,913392928#1,9.643555807232747,A,ready_for_simulation,True,126.98237421110484,37.56036640311212,,
LINK_86949,LINK_86949,,unmatched,none,,,,,,,,,,,,
LINK_19394,LINK_19394,,unmatched,none,,,,,,,,,,,,
LINK_230879,LINK_230879,,unmatched,none,,,,,,,,,,,,
LINK_446,LINK_446,,unmatched,none,,,,,,,,,,,,
LINK_20482,LINK_20482,,unmatched,none,,,,,,,,,,,,
LINK_83815,LINK_83815,,unmatched,none,,,,,,,,,,,,
LINK_124840,LINK_124840,,unmatched,none,,,,,,,,,,,,
LINK_224778,LINK_224778,,unmatched,none,,,,,,,,,,,,
LINK_256826,LINK_256826,,unmatched,none,,,,,,,,,,,,
NODE_6201,6201,6201,exact_strip_NODE,high,:2457731125_c0,2457731125,1339697075#0,237901345#0,103.83498908036756,patched_unsignalized,ready_for_simulation,True,126.97705108541774,37.55497448437383,126.9772152,37.5559416
NODE_6212,6212,6212,exact_strip_NODE,high,:2457731125_c0,2457731125,1339697075#0,237901345#0,125.63390502448831,patched_unsignalized,ready_for_simulation,True,126.97705108541774,37.55497448437383,126.9771935,37.5561407
LINK_130571,LINK_130571,,unmatched,none,,,,,,,,,,,,
LINK_107613,LINK_107613,,unmatched,none,,,,,,,,,,,,
LINK_266939,LINK_266939,,unmatched,none,,,,,,,,,,,,
