crosswalk_id,sumo_crosswalk_alive_status,is_alive_in_sumo_network,phase6_ready_confirmed,sumo_alive_source,in_ready_candidates,in_red_only_phase_fix,in_unsignalized_crosswalks,in_tls_creation_candidates,in_geometry_reject,in_manual_review
NODE_5909,PHASE6_READY_CONFIRMED,True,True,phase6_ready_candidates.csv|phase6_ready_candidates_traci_confirmed.csv|phase6_ready_candidates_total_FINAL_237_integrity_check.csv,True,False,False,False,False,False
NODE_5862,NOT_PROCESSED_OR_UNKNOWN,,False,,False,False,False,False,False,False
NODE_5634,NOT_PROCESSED_OR_UNKNOWN,,False,,False,False,False,False,False,False
NODE_5701,NOT_PROCESSED_OR_UNKNOWN,,False,,False,False,False,False,False,False
NODE_5702,NOT_PROCESSED_OR_UNKNOWN,,False,,False,False,False,False,False,False
NODE_119590,NOT_PROCESSED_OR_UNKNOWN,,False,,False,False,False,False,False,False
NODE_6167,NOT_PROCESSED_OR_UNKNOWN,,False,,False,False,False,False,False,False
NODE_6886,NOT_PROCESSED_OR_UNKNOWN,,False,,False,False,False,False,False,False
NODE_6888,NOT_PROCESSED_OR_UNKNOWN,,False,,False,False,False,False,False,False
NODE_123602,NOT_PROCESSED_OR_UNKNOWN,,False,,False,False,False,False,False,False
NODE_6428,NOT_PROCESSED_OR_UNKNOWN,,False,,False,False,False,False,False,False
NODE_6429,NOT_PROCESSED_OR_UNKNOWN,,False,,False,False,False,False,False,False
NODE_6459,NOT_PROCESSED_OR_UNKNOWN,,False,,False,False,False,False,False,False
NODE_7640,NOT_PROCESSED_OR_UNKNOWN,,False,,False,False,False,False,False,False
NODE_77086,NOT_PROCESSED_OR_UNKNOWN,,False,,False,False,False,False,False,False
NODE_9874,NOT_PROCESSED_OR_UNKNOWN,,False,,False,False,False,False,False,False
NODE_177916,PHASE6_READY_CONFIRMED,True,True,phase6_ready_candidates.csv|phase6_ready_candidates_traci_confirmed.csv|phase6_ready_candidates_total_FINAL_237_integrity_check.csv,True,False,False,False,False,False
NODE_10090,NOT_PROCESSED_OR_UNKNOWN,,False,,False,False,False,False,False,False
NODE_9362,NOT_PROCESSED_OR_UNKNOWN,,False,,False,False,False,False,False,False
NODE_9363,NOT_PROCESSED_OR_UNKNOWN,,False,,False,False,False,False,False,False
NODE_9715,NOT_PROCESSED_OR_UNKNOWN,,False,,False,False,False,False,False,False
NODE_74430,NOT_PROCESSED_OR_UNKNOWN,,False,,False,False,False,False,False,False
NODE_10343,NOT_PROCESSED_OR_UNKNOWN,,False,,False,False,False,False,False,False
NODE_10344,NOT_PROCESSED_OR_UNKNOWN,,False,,False,False,False,False,False,False
LINK_120283,NOT_PROCESSED_OR_UNKNOWN,,False,,False,False,False,False,False,False
LINK_242837,NOT_PROCESSED_OR_UNKNOWN,,False,,False,False,False,False,False,False
LINK_133510,NOT_PROCESSED_OR_UNKNOWN,,False,,False,False,False,False,False,False
