횡단보도ID,lon,lat,읍면동명,LANES,ROAD_RANK,MAX_SPD,사고건수,추정AADT,행정동,노인비율
7267,126.995605537788,37.55639117816562,필동3가,1.0,104,30.0,0,26875.559786532827,필동,0.18382769695824674
7268,126.9955192981899,37.556398040525345,필동3가,1.0,104,30.0,0,26875.559786532827,필동,0.18382769695824674
7320,127.00179205492739,37.56934886007114,방산동,2.0,104,30.0,1,26875.559786532827,을지로동,0.15585960737656157
7332,127.00199183472014,37.56776176205845,방산동,3.0,104,50.0,0,26875.559786532827,을지로동,0.15585960737656157
7341,127.00268606621185,37.56450178707555,쌍림동,1.0,104,30.0,0,26875.559786532827,청구동,0.2478468022723108
7342,127.00275794235405,37.56456586427212,쌍림동,1.0,104,30.0,0,26875.559786532827,청구동,0.2478468022723108
7343,127.00274069908784,37.56474208151778,쌍림동,1.0,104,30.0,1,26875.559786532827,청구동,0.2478468022723108
7346,127.00225194823659,37.56449035350159,오장동,1.0,104,30.0,0,26875.559786532827,황학동,0.1717813302883243
7347,127.00212833134388,37.564700900597636,오장동,1.0,104,30.0,1,26875.559786532827,황학동,0.1717813302883243
7348,127.00224620768013,37.56480159375166,오장동,3.0,104,50.0,0,26875.559786532827,황학동,0.1717813302883243
7349,127.0026372030939,37.5648153168476,쌍림동,1.0,104,30.0,0,26875.559786532827,청구동,0.2478468022723108
7350,127.00215707631328,37.56454070294401,오장동,1.0,104,30.0,0,26875.559786532827,황학동,0.1717813302883243
7358,126.99864676358435,37.564291265065705,예관동,1.0,104,30.0,1,26875.559786532827,필동,0.18382769695824674
7364,127.00032573089847,37.56441485302203,오장동,1.0,104,30.0,1,26875.559786532827,황학동,0.1717813302883243
7365,126.99862951099101,37.56445146200543,오장동,1.0,104,30.0,0,26875.559786532827,황학동,0.1717813302883243
7372,127.0003113567878,37.564565896074306,오장동,1.0,104,30.0,1,26875.559786532827,황학동,0.1717813302883243
6926,126.99531299267903,37.56838988706411,산림동,2.0,104,30.0,0,26875.559786532827,을지로동,0.15585960737656157
6939,126.99807033819948,37.564263794684486,예관동,1.0,104,30.0,0,26875.559786532827,필동,0.18382769695824674
6941,126.99703823563402,37.5642225797533,인현동2가,1.0,104,30.0,0,26875.559786532827,동화동,0.24080640259345557
6942,126.99702672977823,37.564375911013016,인현동2가,1.0,104,30.0,0,26875.559786532827,동화동,0.24080640259345557
6951,126.99611538164625,37.56418593650563,인현동2가,1.0,104,30.0,2,26875.559786532827,동화동,0.24080640259345557
6952,126.99610099931752,37.56433240198968,인현동2가,1.0,104,30.0,0,26875.559786532827,동화동,0.24080640259345557
6957,126.99537077214818,37.56419048671899,인현동2가,1.0,104,30.0,0,26875.559786532827,동화동,0.24080640259345557
6964,126.99538226385332,37.56432093341302,인현동2가,1.0,104,30.0,1,26875.559786532827,동화동,0.24080640259345557
6896,126.99807308368203,37.56860737462777,주교동,3.0,104,50.0,0,26875.559786532827,을지로동,0.15585960737656157
6897,126.99809320442776,37.568804188437184,주교동,2.0,104,30.0,2,26875.559786532827,을지로동,0.15585960737656157
6902,126.997840199986,37.56860279353918,주교동,3.0,104,50.0,0,26875.559786532827,을지로동,0.15585960737656157
6645,126.98968504731782,37.56792495808458,수표동,1.0,104,30.0,1,26875.559786532827,을지로동,0.15585960737656157
6651,126.99228983842096,37.56825356085912,입정동,3.0,104,30.0,0,26875.559786532827,을지로동,0.15585960737656157
6652,126.99255436382407,37.56808651521608,입정동,3.0,104,50.0,0,26875.559786532827,을지로동,0.15585960737656157
6655,126.99228698338382,37.56805903570107,입정동,3.0,104,50.0,0,26875.559786532827,을지로동,0.15585960737656157
6680,126.99300038026495,37.56423842912368,초동,3.0,104,50.0,1,26875.559786532827,동화동,0.24080640259345557
6682,126.99308662278663,37.56430022453114,인현동1가,1.0,104,30.0,0,26875.559786532827,동화동,0.24080640259345557
6683,126.99276463908231,37.56419722136094,초동,3.0,104,50.0,0,26875.559786532827,동화동,0.24080640259345557
6684,126.99314699534088,37.56431395923438,인현동1가,1.0,104,30.0,0,26875.559786532827,동화동,0.24080640259345557
6685,126.99313260780632,37.564453558761585,인현동1가,1.0,104,30.0,1,26875.559786532827,동화동,0.24080640259345557
6686,126.99302048456913,37.56445584071697,초동,1.0,104,30.0,0,26875.559786532827,동화동,0.24080640259345557
6692,126.99173251532784,37.56438252457383,초동,1.0,104,30.0,0,26875.559786532827,동화동,0.24080640259345557
6693,126.99176124639551,37.56454958930954,초동,1.0,104,30.0,0,26875.559786532827,동화동,0.24080640259345557
6701,126.98984072123115,37.56496595220093,저동2가,1.0,104,30.0,0,26875.559786532827,동화동,0.24080640259345557
6702,126.98985509111057,37.56500256992149,저동2가,1.0,104,30.0,0,26875.559786532827,동화동,0.24080640259345557
6703,126.98978610244453,37.56492475394256,저동2가,1.0,104,30.0,0,26875.559786532827,동화동,0.24080640259345557
